timestamp,OutDCA_1,OutDCV_1,In1DCV_1,In2DCV_1,DCWh_1,In1DCA_1,In2DCA_1,OutDCA_2,OutDCV_2,In1DCV_2,In2DCV_2,DCWh_2,In1DCA_2,In2DCA_2,OutDCA_3,OutDCV_3,In1DCV_3,In2DCV_3,DCWh_3,In1DCA_3,In2DCA_3,OutDCA_4,OutDCV_4,In1DCV_4,In2DCV_4,DCWh_4,In1DCA_4,In2DCA_4,OutDCA_5,OutDCV_5,In1DCV_5,In2DCV_5,DCWh_5,In1DCA_5,In2DCA_5,OutDCA_46,OutDCV_6,In1DCV_6,In2DCV_6,DCWh_6,In1DCA_6,In2DCA_6
1756418403259,-0.014,705,223,483,0,0,-1,65.524,708,266,441,0,0,-1,65.523,707,266,443,0,0,-1,65.523,707,266,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,436,0,0,-1
1756418413282,-0.014,705,223,483,0,0,-1,65.524,708,266,441,0,0,-1,65.523,707,266,443,0,0,-1,65.523,707,266,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,436,0,0,-1
1756418423299,-0.014,705,223,483,0,0,-1,65.524,708,266,441,0,0,-1,65.523,707,266,443,0,0,-1,65.523,707,266,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,436,0,0,-1
1756418433330,-0.014,705,223,483,0,0,-1,65.524,708,266,441,0,0,-1,65.523,707,266,443,0,0,-1,65.523,707,266,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,436,0,0,-1
1756418443334,-0.014,705,223,483,0,0,-1,65.524,708,266,441,0,0,-1,65.523,707,266,443,0,0,-1,65.523,707,266,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,436,0,0,-1
1756418453313,-0.014,705,223,483,0,0,-1,65.524,708,266,441,0,0,-1,65.523,707,266,443,0,0,-1,65.523,707,266,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,436,0,0,-1
1756418463326,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418473316,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418483323,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418493338,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418503333,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418513334,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418523353,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,707,222,485,0,0,-1,,704,266,437,0,0,-1
1756418533349,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,707,222,485,0,0,-1,,704,266,437,0,0,-1
1756418543396,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,707,222,485,0,0,-1,,704,266,437,0,0,-1
1756418553332,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,707,222,485,0,0,-1,,704,266,437,0,0,-1
1756418563383,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,707,222,485,0,0,-1,,704,266,437,0,0,-1
1756418573360,-0.014,705,223,483,0,0,-1,65.524,707,266,441,0,0,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,707,222,485,0,0,-1,,704,266,437,0,0,-1
1756418583341,-0.014,705,223,483,0,0,-1,65.522,707,265,441,0,-1,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418593388,-0.014,705,223,483,0,0,-1,65.522,707,265,441,0,-1,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
1756418603372,-0.014,705,223,483,0,0,-1,65.522,707,265,441,0,-1,-1,65.523,707,265,443,0,0,-1,65.523,707,265,443,0,0,-1,65.522,708,222,485,0,0,-1,,704,266,437,0,0,-1
