timestamp,OutDCA_1,OutDCV_1,In1DCV_1,In2DCV_1,DCWh_1,In1DCA_1,In2DCA_1,OutDCA_2,OutDCV_2,In1DCV_2,In2DCV_2,DCWh_2,In1DCA_2,In2DCA_2,OutDCA_3,OutDCV_3,In1DCV_3,In2DCV_3,DCWh_3,In1DCA_3,In2DCA_3,OutDCA_4,OutDCV_4,In1DCV_4,In2DCV_4,DCWh_4,In1DCA_4,In2DCA_4,OutDCA_5,OutDCV_5,In1DCV_5,In2DCV_5,DCWh_5,In1DCA_5,In2DCA_5,OutDCA_6,OutDCV_6,In1DCV_6,In2DCV_6,DCWh_6,In1DCA_6,In2DCA_6
1760392814036,-0.017,699,196,501,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,244,458,0,0,-0.013000000000000001,-0.014,701,244,458,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392834056,-0.017,699,196,501,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,244,458,0,0,-0.013000000000000001,-0.014,701,244,458,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392854074,-0.017,699,196,501,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,244,458,0,0,-0.013000000000000001,-0.014,701,244,458,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392874177,-0.017,699,196,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392894043,-0.017,699,196,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392914058,-0.017,699,196,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392934047,-0.017,699,196,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.017,701,194,504,0,0,-0.018000000000000002,-0.013000000000000001,697,245,451,0,0,-0.017
1760392954074,-0.016,699,197,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.016,701,196,502,0,0,-0.017,-0.013000000000000001,697,245,451,0,0,-0.017
1760392974077,-0.016,699,197,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.016,701,196,502,0,0,-0.017,-0.013000000000000001,697,245,451,0,0,-0.017
1760392994061,-0.016,699,197,500,0,0,-0.017,-0.013000000000000001,701,245,455,0,0,-0.017,-0.014,701,245,457,0,0,-0.013000000000000001,-0.014,701,245,457,0,0,-0.013000000000000001,-0.016,701,196,502,0,0,-0.017,-0.013000000000000001,697,245,451,0,0,-0.017
